term,coef,std_err,pvalue
Intercept,0.0016381508269003968,0.0018285386806546177,0.37031697562859944
C(ticker)[T.ASIANPAINT.NS],0.005674754269716465,9.327397396288818e-05,0.0
C(ticker)[T.AXISBANK.NS],-0.007411676781883388,9.327397396289175e-05,0.0
C(ticker)[T.BAJAJ-AUTO.NS],-0.0026746584762745666,4.449501990011552e-17,0.0
C(ticker)[T.BAJAJFINSV.NS],-0.001397732893230006,9.327397396288948e-05,9.169363099539584e-51
C(ticker)[T.BAJFINANCE.NS],-0.007379667600907488,9.32739739628971e-05,0.0
C(ticker)[T.BHARTIARTL.NS],-0.00038872218260267146,9.327397396289761e-05,3.079165811507634e-05
C(ticker)[T.BPCL.NS],-0.003950332217909491,3.952269166161319e-17,0.0
C(ticker)[T.BRITANNIA.NS],0.007128809832936762,9.327397396289651e-05,0.0
C(ticker)[T.CIPLA.NS],0.004903712351651099,9.327397396289891e-05,0.0
C(ticker)[T.COALINDIA.NS],-0.004559835354676752,4.0764851674772204e-17,0.0
C(ticker)[T.DIVISLAB.NS],0.008634253811597206,9.327397396288983e-05,0.0
C(ticker)[T.DRREDDY.NS],0.008196926702076847,9.327397396289284e-05,0.0
C(ticker)[T.EICHERMOT.NS],-0.0005284103230047638,4.6163086892870953e-17,0.0
C(ticker)[T.GRASIM.NS],-0.0022917219253978335,9.32739739628913e-05,2.6580042247144374e-133
C(ticker)[T.HCLTECH.NS],0.0008980865841680663,9.327397396289341e-05,6.06195620951419e-22
C(ticker)[T.HDFCBANK.NS],-0.003074823255491208,9.327397396289425e-05,2.536949484260712e-238
C(ticker)[T.HEROMOTOCO.NS],-0.0059941446104732204,4.6758196340346993e-17,0.0
C(ticker)[T.HINDALCO.NS],0.0026136606562774433,4.556481369109893e-17,0.0
C(ticker)[T.HINDUNILVR.NS],0.004962410611914721,9.327397396289514e-05,0.0
C(ticker)[T.ICICIBANK.NS],-0.004395604830185961,9.327397396289125e-05,0.0
