sector,CAR_5d,CAR_10d
Metals,0.0326030234691623,0.11958102845179465
FMCG,0.06101783307439965,0.10006154598294159
Infrastructure,-0.0576912213553554,0.0933526171249062
Pharma,0.0333503647551008,0.06660779066731651
Consumer Discretionary,0.0544610056097887,0.0511337009076551
IT,0.0037168335853403,0.0332198919556191
Cement,0.0272551137946535,0.0274347694761808
Telecom,-0.0091375695889494,0.0162933507323231
Chemicals,-0.0243788161191361,0.0146263229416057
Finance,-0.02154509498256595,-0.02493850264030295
Autos,-0.0369766130589664,-0.0480041708192297
Utilities,-0.0247111127232775,-0.05574155938141235
Banks,-0.05483199166104795,-0.059730577186460646
Energy,-0.06491726222929176,-0.0632976289131975
Industrials,-0.0595002348755589,-0.0731238700772575
