sector,mean_delta,median_delta,count
Industrials,0.011278732880242942,0.011737494755318826,6
Energy,0.011217971741505276,0.010182450444939591,7
Utilities,0.008599033147659793,0.008599033147659793,2
Healthcare,0.005301568699011496,0.006276048499565141,4
Consumer Cyclical,0.004915635335438094,0.006555514397393334,7
Communication Services,0.004901098516842383,0.004901098516842383,1
Technology,0.003720456337961254,0.0018274591314517141,5
Basic Materials,0.0031538062097367166,0.0019776936776993125,11
Financial Services,-0.0002642620580100487,-0.0017984304997897748,8
Consumer Defensive,-0.0005029146645776124,-0.0004612457652374176,6
