ticker,sector,exposure_group,pre_mean_sigma,post_mean_sigma,delta_sigma,Group,TreatedFlag,HighExposure
ADANIPORTS.NS,Industrials,none,0.017237622810266664,0.02968360687255384,0.012445984062287176,Other,0,0
ASIANPAINT.NS,Basic Materials,none,0.005628197576015537,0.015458696538515256,0.009830498962499719,Other,0,0
AXISBANK.NS,Financial Services,none,0.014901971171323348,0.011684404898431724,-0.003217566272891624,Other,0,0
BAJAJ-AUTO.NS,Consumer Cyclical,none,0.00564596047622515,0.012201474873618483,0.006555514397393334,Other,0,0
BAJAJFINSV.NS,Financial Services,none,0.020022448035045787,0.016962785392049984,-0.0030596626429958036,Other,0,0
BAJFINANCE.NS,Financial Services,none,0.010954755784385015,0.019653906545310025,0.00869915076092501,Other,0,0
BHARTIARTL.NS,Communication Services,none,0.006693715024446623,0.011594813541289006,0.004901098516842383,Other,0,0
BPCL.NS,Energy,none,0.005737050230289102,0.01121716081049809,0.005480110580208989,Treated,1,0
BRITANNIA.NS,Consumer Defensive,none,0.009361031702798969,0.011514134124866926,0.0021531024220679575,Other,0,0
CHAMBLFERT.NS,Basic Materials,agri,0.006887823214934195,0.026548272969285632,0.01966044975435144,Other,0,1
CIPLA.NS,Healthcare,none,0.007644643625673459,0.012773296558426003,0.0051286529327525445,Other,0,0
COALINDIA.NS,Energy,none,0.004556770420059924,0.019737348344818925,0.015180577924759001,Treated,1,0
CONCOR.NS,Industrials,shipping,0.0052271692947824504,0.021955847143829997,0.016728677849047545,Other,0,1
COROMANDEL.NS,Basic Materials,agri,0.019042411496804794,0.016566299238561365,-0.002476112258243429,Other,0,1
DIVISLAB.NS,Healthcare,none,0.01149611095579652,0.012723664610150856,0.0012275536543543356,Other,0,0
DRREDDY.NS,Healthcare,none,0.006274715461218149,0.013701339603779512,0.0074266241425613635,Other,0,0
EICHERMOT.NS,Consumer Cyclical,none,0.004613373411893819,0.013148833768233371,0.008535460356339553,Other,0,0
GESHIP.NS,Industrials,shipping,0.011149460621581179,0.027129710419920704,0.015980249798339525,Other,0,1
GODREJAGRO.NS,Consumer Defensive,agri,0.01790299758133308,0.017013249503813454,-0.0008897480775196254,Other,0,1
GPPL.NS,Industrials,shipping,0.011530837486486733,0.022559842934837208,0.011029005448350475,Other,0,1
GRASIM.NS,Basic Materials,none,0.015321742389176354,0.013705912637358951,-0.0016158297518174027,Other,0,0
HCLTECH.NS,Technology,none,0.008054159436690203,0.0097257919895077,0.0016716325528174977,Other,0,0
HDFCBANK.NS,Financial Services,none,0.015069381796143791,0.008995827292238402,-0.00607355450390539,Other,0,0
HEROMOTOCO.NS,Consumer Cyclical,none,0.005771322899903264,0.010673927045023091,0.004902604145119827,Other,0,0
HINDALCO.NS,Basic Materials,none,0.02858099427496246,0.018689050381124735,-0.009891943893837726,Other,0,0
HINDUNILVR.NS,Consumer Defensive,none,0.015301514872953398,0.01073002144018518,-0.004571493432768218,Other,0,0
ICICIBANK.NS,Financial Services,none,0.004795859065166792,0.009784924870486903,0.004989065805320112,Other,0,0
INDUSINDBK.NS,Financial Services,none,0.015029089490482154,0.01517442087952901,0.00014533138904685577,Other,0,0
INFY.NS,Technology,none,0.006705607392527617,0.009929503090520368,0.0032238956979927513,Other,0,0
IOC.NS,Energy,none,0.006408469066328795,0.015115638271975266,0.008707169205646471,Treated,1,0
ITC.NS,Consumer Defensive,none,0.010288369725751458,0.00979215862697594,-0.0004962110987755172,Other,0,0
JSWSTEEL.NS,Basic Materials,none,0.02762408976114436,0.020499727463470084,-0.007124362297674276,Other,0,0
KOTAKBANK.NS,Financial Services,none,0.011494098723319295,0.008953083658701188,-0.0025410150646181066,Other,0,0
LT.NS,Industrials,none,0.005964304613906282,0.012315202808181125,0.006350898194274843,Other,0,0
M&M.NS,Consumer Cyclical,none,0.014447177865450286,0.01646833613168769,0.0020211582662374022,Other,0,0
MARUTI.NS,Consumer Cyclical,none,0.005918754616335863,0.013038214152486443,0.00711945953615058,Other,0,0
MRPL.NS,Energy,oil,0.012893282405024287,0.02948665238454468,0.016593369979520392,Treated,1,1
NESTLEIND.NS,Consumer Defensive,none,0.01105361620664458,0.010627335774945262,-0.000426280431699318,Other,0,0
NTPC.NS,Utilities,none,0.005724439145295762,0.015266457745670248,0.009542018600374486,Defensive,0,0
ONGC.NS,Energy,none,0.006987733546798071,0.01697979201954186,0.00999205847274379,Treated,1,0
PETRONET.NS,Energy,oil,0.0043008350597091086,0.016690900642427807,0.012390065582718698,Treated,1,1
PIIND.NS,Basic Materials,agri,0.005147667461561583,0.020709761981706952,0.01556209452014537,Other,0,1
POWERGRID.NS,Utilities,none,0.008340480417638966,0.015996528112584067,0.007656047694945101,Defensive,0,0
RELIANCE.NS,Energy,none,0.0015249726242984253,0.011707423069238016,0.010182450444939591,Treated,1,0
SBIN.NS,Financial Services,none,0.013890653419445282,0.012834807484483839,-0.001055845934961443,Other,0,0
SCI.NS,Industrials,shipping,0.017193361769251292,0.022330943698409385,0.005137581929158093,Other,0,1
SHREECEM.NS,Basic Materials,none,0.00982157589955417,0.014106534155067688,0.0042849582555135185,Other,0,0
SUNPHARMA.NS,Healthcare,none,0.005452080087999326,0.012875524154377064,0.007423444066377738,Other,0,0
TATACONSUM.NS,Consumer Defensive,none,0.011734573357221788,0.012947715988450835,0.0012131426312290468,Other,0,0
TATAMOTORS.NS,Consumer Cyclical,none,0.01995762509354989,0.017553108107975956,-0.002404516985573934,Other,0,0
TATASTEEL.NS,Basic Materials,none,0.0189765639777717,0.02095425765547101,0.0019776936776993125,Other,0,0
TCS.NS,Technology,none,0.010042987821342952,0.010436170846743562,0.0003931830254006105,Other,0,0
TECHM.NS,Technology,none,0.009569080915874821,0.011396540047326535,0.0018274591314517141,Other,0,0
TITAN.NS,Consumer Cyclical,none,0.00817136091044671,0.0158511285428466,0.00767976763239989,Other,0,0
ULTRACEMCO.NS,Basic Materials,none,0.008888369817732347,0.011757331043917336,0.002868961226184989,Other,0,0
UPL.NS,Basic Materials,none,0.01991405759644884,0.021529517708731214,0.0016154601122823735,Other,0,0
WIPRO.NS,Technology,none,0.006471289850209167,0.017957401132352863,0.011486111282143696,Other,0,0
